Item No	Item Description	Product Group	PUOM	PUOMDESC	QtyPerUOM	UPC13	PackPrice	PackCost	Stock	ItemType	Remove this row and save it as tab delimited to import in ZWMS
1001	CUCUMBER LOCAL KG-3201C	3201C	1KG	1Kilo	120	2210000005570	3.48	321.54	100	Stockable	
1001	CUCUMBER LOCAL KG-3201C	3201C	500G	500Gram	1	2200100110007	2	1.34	100	Stockable	
1001	CUCUMBER LOCAL KG-3201C	3201C	500G	500Gram	1	2210000001350	2	1.34	100	Stockable	
1001	CUCUMBER LOCAL KG-3201C	3201C	500G	500Gram	1	2210000005556	2	1.34	100	Stockable	
1001	CUCUMBER LOCAL KG-3201C	3201C	KG	Kilograms	1	1001	6.04	2.68	100	Stockable	
1001	CUCUMBER LOCAL KG-3201C	3201C	KG	Kilograms	1	1001	5.43	2.68	100	Stockable	
1002	TOMATO-3201C	3201C	BBOX	BIG BOX	5	2030000193073	34.74	19.29	100	Stockable	
1002	TOMATO-3201C	3201C	400G	400Gram	1	2210000005655	1.58	1.71	100	Stockable	
1002	TOMATO-3201C	3201C	KG	Kilograms	1	1002	7.78	4.29	100	Stockable	
1003	CABBAGE LOCAL-3201C	3201C	KG	Kilograms	1	1003	2.57	1.8	100	Stockable	
10031	HAIR GEL LAVENDER 80G    YARDLEY-2103D	2103D	001	1 X 1	1	5017101009356	14.76	11.92	100	Stockable	
10032	HAIR CREAM LAVENDER 150G    YARDLEY-2103D	2103D	001	1 X 1	1	5017101049642	14.74	11.5	100	Stockable	
100344	DISTILLED WATER 1LITER-4208C	4208C	001	1 X 1	1	2001001003449	4.3	1.12	100	Stockable	
100344	DISTILLED WATER 1LITER-4208C	4208C	012	12 X 1	12	2012001003445	51.65	13.47	100	Stockable	
100344	DISTILLED WATER 1LITER-4208C	4208C	277	6 X 4	24	2277001003448	103.3	26.94	100	Stockable	
100344	DISTILLED WATER 1LITER-4208C	4208C	004	4 X 1	4	2004001003440	17.22	4.49	100	Stockable	
1004	POTATO-3201C	3201C	BAG-S	BAG SMALL	3	2030000199952	4.95	7.18	100	Stockable	
1004	POTATO-3201C	3201C	KG	Kilograms	1	1004	4.3	2.39	100	Stockable	
1004	POTATO-3201C	3201C	SBOX	SMALL BOX	2	2030000199945	4.95	5.51	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	2001001004316	45.17	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	7042541900022	45.17	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	2001001004316	46.04	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	7042541900022	46.04	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	2001001004316	47	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	7042541900022	47	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	2001001004316	46.04	34.77	100	Stockable	
100431	SALMON SMOKED FROZEN  200Grams    MISCLNS -3204F	3204F	001	1 X 1	1	7042541900022	46.04	34.77	100	Stockable	
10048	FRUIT DRINK  CORDIAL   710ML  TONO-1106B	1106B	001	1 X 1	1	6281100320012	15.43	12.7	100	Stockable	
10048	FRUIT DRINK  CORDIAL   710ML  TONO-1106B	1106B	012	12 X 1	12	06281100320029	166.67	152.36	100	Stockable	
10048	FRUIT DRINK  CORDIAL   710ML  TONO-1106B	1106B	012	12 X 1	12	2030000833863	166.67	152.36	100	Stockable	
10048	FRUIT DRINK  CORDIAL   710ML  TONO-1106B	1106B	012	12 X 1	12	6281100320029	166.67	152.36	100	Stockable	
100485	FETA CHEESE FRENCH SHEEPS 600 GRAMS  VALBRESO-1115B	1115B	001	1 X 1	1	2001001004859	47.78	39.49	100	Stockable	
100485	FETA CHEESE FRENCH SHEEPS 600 GRAMS  VALBRESO-1115B	1115B	001	1 X 1	1	3482010000015	47.78	39.49	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	001	1 X 1	1	2001001004873	36.96	30.27	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	001	1 X 1	1	6084012090253	36.96	30.27	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	001	1 X 1	1	7622210852496	36.96	30.27	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	001	1 X 1	1	9300650355286	36.96	30.27	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	006	6 X 1	6	16084012090267	173.91	181.61	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	006	6 X 1	6	19300650355283	173.91	181.61	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	006	6 X 1	6	2030000394609	173.91	181.61	100	Stockable	
100487	CHEDDAR CHEESE SPREAD ORIGINAL 870 GR KRAFT-1115B	1115B	006	6 X 1	6	7622210852502	173.91	181.61	100	Stockable	
1005	CAULIFLOWER   -3201C	3201C	KG	Kilograms	1	1005	6.04	4	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	006	6 X 1	6	3057640100833	60.95	82.46	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	181	4 X 6	24	0305764011205	228.57	329.85	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	001	1 X 1	1	2001000100545	17.35	13.74	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	001	1 X 1	1	3057640100178	17.35	13.74	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	001	1 X 1	1	3057640256523	17.35	13.74	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	03057640112058	186.91	164.93	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	03057640259098	186.91	164.93	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	2012000100541	186.91	164.93	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	2221000003633	186.91	164.93	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	2240300002016	186.91	164.93	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	3057640112058	186.91	164.93	100	Stockable	
10054	MINERAL WATER    1.5LTR  VOLVIC-1106A	1106A	012	12 X 1	12	3057640259098	186.91	164.93	100	Stockable	
10057	JAM STRAWBERRY BOTTILE  370GRAMS  BONEMN-1109A	1109A	001	1 X 1	1	3045320015782	23.91	18.29	100	Stockable	
10057	JAM STRAWBERRY BOTTILE  370GRAMS  BONEMN-1109A	1109A	006	6 X 1	6	03608588103006	94.29	109.73	100	Stockable	
10057	JAM STRAWBERRY BOTTILE  370GRAMS  BONEMN-1109A	1109A	006	6 X 1	6	3608588103006	94.29	109.73	100	Stockable	
10058	APRICOT PRESERVE BOTTILE  370GRAMS  BONEMN-1109A	1109A	006	6 X 1	6	03608588103020	94.29	107.01	100	Stockable	
10058	APRICOT PRESERVE BOTTILE  370GRAMS  BONEMN-1109A	1109A	006	6 X 1	6	2030000960095	94.29	107.01	100	Stockable	
10058	APRICOT PRESERVE BOTTILE  370GRAMS  BONEMN-1109A	1109A	006	6 X 1	6	3608588103020	94.29	107.01	100	Stockable	
10058	APRICOT PRESERVE BOTTILE  370GRAMS  BONEMN-1109A	1109A	001	1 X 1	1	3045320015799	23.91	17.84	100	Stockable	
1006	EGG PLANT ROUND LOCAL KG -3201C	3201C	KG	Kilograms	1	1006	4.3	3.5	100	Stockable	
1007	EGG PLANT LONG LOCAL KG-3201C	3201C	KG	Kilograms	1	1007	6.04	5	100	Stockable	
10071	TAMRND SYRUP BTL  600ML   KASTLCHTR-1106B	1106B	001	1 X 1	1	2001000100712	31.74	19.26	100	Stockable	
10071	TAMRND SYRUP BTL  600ML   KASTLCHTR-1106B	1106B	001	1 X 1	1	762571101073	31.74	19.26	100	Stockable	
10071	TAMRND SYRUP BTL  600ML   KASTLCHTR-1106B	1106B	012	12 X 1	12	2030000948918	376.19	231.08	100	Stockable	
10071	TAMRND SYRUP BTL  600ML   KASTLCHTR-1106B	1106B	012	12 X 1	12	762571101493	376.19	231.08	100	Stockable	
10073	GRENADINE SYRUP  BTL  600ML   KASTLCHTR-1106B	1106B	012	12 X 1	12	2030000998999	376.19	197.99	100	Stockable	
10073	GRENADINE SYRUP  BTL  600ML   KASTLCHTR-1106B	1106B	012	12 X 1	12	762571101431	376.19	197.99	100	Stockable	
10073	GRENADINE SYRUP  BTL  600ML   KASTLCHTR-1106B	1106B	001	1 X 1	1	2001000100736	31.74	16.5	100	Stockable	
10073	GRENADINE SYRUP  BTL  600ML   KASTLCHTR-1106B	1106B	001	1 X 1	1	762571101103	31.74	16.5	100	Stockable	
1008	COURGETTE-3201C	3201C	KG	Kilograms	1	1008	7.17	5.5	100	Stockable	
1009	CARROT LOCAL  -3201C	3201C	KG	Kilograms	1	1009	5.17	2.91	100	Stockable	
1009	CARROT LOCAL  -3201C	3201C	BBOX	BIG BOX	15	2030000317998	50.43	43.61	100	Stockable	
1010	BEET ROOT   -3201C	3201C	KG	Kilograms	1	1010	5.17	4.25	100	Stockable	
1011	CAPSICUM  RED  -3201C	3201C	KG	Kilograms	1	1011	13	12	100	Stockable	
101182	HALAWA CHOCLATE 500 GR  TEMA-1109B	1109B	001	1 X 1	1	2001001011826	23.91	15.14	100	Stockable	
101182	HALAWA CHOCLATE 500 GR  TEMA-1109B	1109B	001	1 X 1	1	6281100250623	23.91	15.14	100	Stockable	
1012	BITTER GOURD-3201C	3201C	KG	Kilograms	1	1012	6.3	5.25	100	Stockable	
1013	OKRA INDIA SMALL-3201C	3201C	KG	Kilograms	1	1013	12.13	10.68	100	Stockable	
101353	CUSTARD BISCUIT CREAM 39 GRAMS GANDOUR-1122A	1122A	001	1 X 1	1	2001001013530	0.43	0.18	100	Stockable	
101353	CUSTARD BISCUIT CREAM 39 GRAMS GANDOUR-1122A	1122A	001	1 X 1	1	6281004607035	0.43	0.18	100	Stockable	
